```jsonl
{"family":"monumento","entity_id":"monumento_1","start_s":5.0,"end_s":9.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Eiffel Tower visible"}
{"family":"iglesia","entity_id":"iglesia_1","start_s":9.0,"end_s":10.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Sacré-Cœur Basilica domes visible"}
{"family":"calle","entity_id":"calle_1","start_s":10.0,"end_s":15.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Parisian street with people and cars"}
{"family":"edificio","entity_id":"edificio_1","start_s":10.0,"end_s":15.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Parisian buildings lining the street"}
{"family":"escaparate","entity_id":"escaparate_1","start_s":10.0,"end_s":15.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Flower shop facade with displays"}
{"family":"logo_marca","entity_id":"logo_marca_1","start_s":10.0,"end_s":15.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"'FLEURISTE MARGUERITE et CAPUCINE' sign"}
{"family":"calle","entity_id":"calle_1","start_s":15.0,"end_s":20.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Parisian street with people and cars"}
{"family":"edificio","entity_id":"edificio_1","start_s":15.0,"end_s":20.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Parisian buildings lining the street"}
{"family":"escaparate","entity_id":"escaparate_1","start_s":15.0,"end_s":20.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Flower shop facade with displays"}
{"family":"logo_marca","entity_id":"logo_marca_1","start_s":15.0,"end_s":20.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"'FLEURISTE MARGUERITE et CAPUCINE' sign"}
{"family":"packaging","entity_id":"packaging_1","start_s":15.0,"end_s":20.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Flower wraps held by Mindy"}
{"family":"calle","entity_id":"calle_1","start_s":20.0,"end_s":25.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Parisian street with people and cars"}
{"family":"edificio","entity_id":"edificio_1","start_s":20.0,"end_s":25.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Parisian buildings lining the street"}
{"family":"escaparate","entity_id":"escaparate_1","start_s":20.0,"end_s":25.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Flower shop facade with displays"}
{"family":"logo_marca","entity_id":"logo_marca_1","start_s":20.0,"end_s":25.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"'FLEURISTE MARGUERITE et CAPUCINE' sign"}
{"family":"packaging","entity_id":"packaging_1","start_s":20.0,"end_s":25.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Flower wraps held by Mindy"}
{"family":"calle","entity_id":"calle_1","start_s":25.0,"end_s":30.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Parisian street with people and cars"}
{"family":"edificio","entity_id":"edificio_1","start_s":25.0,"end_s":30.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Parisian buildings lining the street"}
{"family":"escaparate","entity_id":"escaparate_1","start_s":25.0,"end_s":30.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Flower shop facade with displays"}
{"family":"logo_marca","entity_id":"logo_marca_1","start_s":25.0,"end_s":30.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"'FLEURISTE MARGUERITE et CAPUCINE' sign"}
{"family":"packaging","entity_id":"packaging_1","start_s":25.0,"end_s":30.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Flower wraps held by Mindy"}
{"family":"calle","entity_id":"calle_1","start_s":30.0,"end_s":35.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Parisian street with people and cars"}
{"family":"edificio","entity_id":"edificio_1","start_s":30.0,"end_s":35.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Parisian buildings lining the street"}
{"family":"escaparate","entity_id":"escaparate_1","start_s":30.0,"end_s":35.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Flower shop facade with displays"}
{"family":"logo_marca","entity_id":"logo_marca_1","start_s":30.0,"end_s":35.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"'FLEURISTE MARGUERITE et CAPUCINE' sign"}
{"family":"packaging","entity_id":"packaging_1","start_s":30.0,"end_s":35.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Flower wraps held by Mindy"}
