products_id,producto,marca,n_hp,t_start,t_end,x_avg,y_avg
21,Place de l ´estrapade,Locations,531,12.00000000000000000000,65.00000000000000000000,0.1036310733985261,0.44782184577931117
20,Restaurant Terra Nera,Restaurants,571,12.00000000000000000000,69.00000000000000000000,0.22522486857874172,0.46819334501977977
72,GTS,Mclaren,363,13.80547237396240200000,90.25691986083984000000,0.23731900825480784,0.5512743806543429
16,Neon Check Blazer,Mira Mikati,1985,17.00000000000000000000,300.00000000000000000000,0.474869612977847,0.6802551663042016
19,Guess GU8234-32E,Guess,239,17.00000000000000000000,40.79999923706055000000,0.3014221755031761,0.5533497917103468
17,Delvaux for Gucci,Gucci,801,17.00000000000000000000,97.00000000000000000000,0.37911997506681006,0.782124095046416
18,Alpha Handbag,Pierre Hardy,542,18.00000000000000000000,286.00000000000000000000,0.49569981531463425,0.919619003895024
103,[AI] Flower,AI Generated,464,32.53253173828125000000,285.99432373046875000000,0.8251989234624237,0.6150053870575182
101,[AI] Necklace,AI Generated,53,32.57424163818359400000,34.74307632446289000000,0.2607113218532418,0.3642792448682605
104,[AI] Vase,AI Generated,304,61.72839355468750000000,162.53753662109375000000,0.5766233603813147,0.7880651337143622
26,Lampara Liam,H&M,896,102.39405822753906000000,258.46679687500000000000,0.25516674094251357,0.51285870470539
34,Sunglasses Panthere,Cartier,174,107.19999694824219000000,287.79998779296875000000,0.4085500002249904,0.29831264322174006
27,Capotto in yellow,Dolce & Gabbana,779,107.80000305175781000000,298.39999389648440000000,0.43721052625519014,0.49423863948233165
105,[AI] Desk,AI Generated,1097,109.19252777099610000000,274.56622314453125000000,0.5702939797990846,0.9024370031239449
106,[AI] Cup,AI Generated,875,110.65232086181640000000,274.56622314453125000000,0.9459993061338152,0.8691513077872141
23,Carasky Crossbody,Christian Louboutin,207,113.19999694824219000000,297.70001220703125000000,0.43620386467751676,0.7537434757619664
107,[AI] Handbag/Satchel,AI Generated,76,124.33266448974610000000,127.46079254150390000000,0.6785473690221184,0.6562736810822236
9,Vestido acampanado de popelina con estampado de amapolas,Dolce & Gabbana,327,124.54120635986328000000,173.42341613769530000000,0.4779238523146428,0.6865094857296083
108,[AI] Cabinet/shelf,AI Generated,336,133.00801086425780000000,164.62295532226562000000,0.8257577412185215,0.715197322091886
15,Daily8 Water Jug,Bluewave Lifestyle,291,148.00000000000000000000,297.70001220703125000000,0.50476219994096,0.6817615216540307
6,Coca-cola,Coca-Cola,116,157.74107360839844000000,162.53753662109375000000,0.6365637835757486,0.8267034425817686
25,Galaxy S23 Ultra Rosa,Samsung,143,165.60000610351562000000,207.39999389648438000000,0.621139162903899,0.4691769227229215
102,[AI] Chair,AI Generated,229,167.25057983398438000000,298.50683593750000000000,0.4334078603241121,0.6257170329122564
24,Galaxy S23 Ultra Negro,Samsung,204,167.60000610351562000000,245.66232299804688000000,0.28689901808313295,0.6221612810212023
36,Velvet fuchsia jacket & pants,Elie Saab,134,167.89999389648438000000,207.80000305175780000000,0.7129440329857727,0.6315358205517726
31,MacBook Air,Apple,243,179.97163391113280000000,234.39999389648438000000,0.5495448540512917,0.806832097194813
29,iPhone Pro 14,Apple,614,215.69999694824220000000,259.89999389648440000000,0.5191477192050082,0.7413786640967143
33,Traje Slimfit de lana Virgen,Hugo Boss,222,229.00000000000000000000,257.60000610351560000000,0.14806666661490192,0.6665274782760723
28,Datejust white sphere,Rolex,226,229.30000305175780000000,258.20001220703125000000,0.3539517695924877,0.7932349593765968
30,Corbata Londres,Barlovento de Biar,511,229.69999694824220000000,257.60000610351560000000,0.2604183954152109,0.6620745531733488
109,[AI] Glasses,AI Generated,109,261.88690185546875000000,269.97830200195310000000,0.3148550467753629,0.20411651328616187
11,Chal mariposas y flores blanco,Bimba y Lola,61,277.06872558593750000000,279.57122802734375000000,0.7796836065464332,0.4058688522362318
35,Tiffany & Co - Champs Elisses,Locations,21,279.79998779296875000000,281.79998779296875000000,0.5555476177306402,0.4790190472489312
110,[AI] Picture/Frame,AI Generated,199,281.74008178710940000000,286.03604125976560000000,0.8210160804154286,0.42865778707978713
